stationCode,stationName,triggerLevel_stand,triggerLevel_old,triggerLevel,threshold2Year,threshold5Year_old,threshold5Year,threshold10Year_old,threshold10Year,threshold20Year_old,threshold20Year,lat,lon
G4957,Nr. BAHIR DAR,451.105,384.385,1382.69,382.69,346.153,424.19,384.385,451.105,403.501,478.02,11.75,37.65000153
G6107,Abetlti,2061.94,2094.06,1788.34,1788.34,1919.22,1954.3,2094.06,2061.94,2181.48,2169.58,8.25,37.54999924
G1053,Adaitu,1955.005,2139.81,1615.43,1615.43,1802.74,1821.41,2139.81,1955.005,2308.35,2088.6,11.35000038,40.95000076
G1067,Melka Sedi,1688.89,1769.42,1364.37,1364.37,1565.82,1561.22,1769.42,1688.89,1871.22,1816.56,9.149999619,40.15000153
G1904,Na,5137.82,3950.28,3540.73,3540.73,3504.77,4509.49,3950.28,5137.82,4173.03,5766.15,5.050000191,44.84999847
G1907,Na,4673.69,4032.34,3313.39,3313.39,3601.23,4138.52,4032.34,4673.69,4247.89,5208.86,6.050000191,43.04999924
G4953,Bahir Dar,2011.215,938.216,1690.88,1690.88,835.11,1885.19,938.216,2011.215,989.769,2137.24,11.55000019,37.34999847
G1902,Na,440.82,686.141,273.04,273.04,567.688,374.81,686.141,440.82,745.368,506.83,4.75,42.04999924
G5068,Na,851.075,1027.25,475.01,475.01,744.845,703.12,1027.25,851.075,1168.45,999.03,7.650000095,42.04999924
G5076,Na,3418.265,3847.48,2746.6,2746.6,3501.67,3154.02,3847.48,3418.265,4020.38,3682.51,7.550000191,41.95000076
G5141,Na,1856.24,2888.38,1396.61,1396.61,2595.6,1675.41,2888.38,1856.24,3034.77,2037.07,4.349999905,41.95000076
G5115,Na,1090.585,2035.47,852.05,852.05,1806.05,996.74,2035.47,1090.585,2150.17,1184.43,5.75,40.84999847
G1901,Omo River Delta,6454.46,6479.4,5402.08,5402.08,5960.06,6040.43,6479.4,6454.46,6739.08,6868.49,4.849999905,36.04999924
G4979,Na,16488.675,12349.1,14871.71,14871.71,11567.8,15852.53,12349.1,16488.675,12739.7,17124.82,10.05000019,35.75
G6109,Asetndabo,470.325,483.858,1422.25,422.25,454.188,451.41,483.858,470.325,498.693,489.24,7.75,37.25
G4977,Nr. MARAWI,518.395,803.366,382.04,382.04,649.891,464.75,803.366,518.395,880.103,572.04,11.35000038,37.04999924
G6108,Woltkite,1223.37,2235.6,1003.58,1003.58,2035.65,1136.9,2235.6,1223.37,2335.57,1309.84,8.25,37.75
G1074,Metahara,1355.22,929.753,1096,1096,803.131,1253.24,929.753,1355.22,993.064,1457.2,8.850000381,39.95000076
G1045,Tendaho,1955.12,2124.47,1616.7,1616.7,1774.29,1821.98,2124.47,1955.12,2299.56,2088.26,11.75,40.95000076
G4954,Na,953.06,710.183,389.77,389.77,507.659,731.45,710.183,953.06,811.444,1174.67,11.05000019,41.65000153
G4965,Nr. ADDIS ZEMEN,413.705,406.525,346.84,346.84,364.198,387.4,406.525,413.705,427.689,440.01,12.05000019,37.75
G5081,Na,3941.615,4082.07,3018.38,3018.38,3683.07,3578.4,4082.07,3941.615,4281.57,4304.83,7.349999905,42.15000153
G5173,Na,1042.2,635.533,501.48,501.48,468.587,829.47,635.533,1042.2,719.007,1254.93,2.849999905,37.45000076
G6110,Woltkite,207.15,159.772,161.32,161.32,138.231,189.12,159.772,207.15,170.542,225.18,8.350000381,37.54999924
G6111,Shetbe,245.29,566.903,173.61,173.61,449.82,217.09,566.903,245.29,625.444,273.49,7.449999809,36.34999847
G1603,Gambella,2326.52,3227.67,1809.9,1809.9,2718.6,2123.27,3227.67,2326.52,3482.21,2529.77,8.25,34.95000076
G4951,Na,1954.02,2000.01,1602.85,1602.85,1659.51,1815.86,2000.01,1954.02,2170.26,2092.18,11.14999962,41.65000153
G5056,Na,961.135,609.041,1737.05,737.05,522.072,872.97,609.041,961.135,652.526,1049.3,8.050000191,33.15000153
