stationCode,stationName,triggerLevel,threshold2Year,threshold5Year,threshold10Year,threshold20Year,lon,lat
G1964,Wilge RiverAtSlabberts,921.44,590.1,921.44,1252.78,1351.25,121.635,18.134
G1966,Mogalakwena RiverAtLeniesrus,522.95,276.92,522.95,768.98,842.1,120.735,14.894
G1967,Sondags RiverAtDeDraay,556.48,326.02,556.48,786.94,855.42,120.465,15.344
G1969,Tugela RiverAtTugelaFerry,1219.02,798.98,1219.02,1639.06,1763.9,124.335,7.154
G1970,Caledon RiverAtWilgerdraai,576.84,397.91,576.84,755.77,808.95,124.785,7.154
G4608,Pototan JalaurBridge,414.26,311.35,414.26,517.17,547.77,122.6861,10.9095
G4611,Nabua,299.74,218.24,299.74,381.24,405.45,123.3254,13.4042
G4630,Tuguegarao BuntunBridge,5151.36,3796.15,5151.36,6506.57,6909.31,121.6877,17.6142
G4945,Talacogon MunicipalHall,1844.65,1299.31,1844.65,2389.99,2552.06,125.784946,8.449327
G5368,Nia PumpingStation,2657.61,1834.46,2657.61,3480.76,3725.39,125.54135,8.8855
G5369,Dao Bridge,559.17,412.73,559.17,705.61,749.12,122.687125,11.392208
