stationCode,stationName,triggerLevelold,triggerLevel,threshold2Year,threshold5Year,threshold10Year,threshold20Year,lat,lon,2y,5y,20y
G1264,NearChibote,2534,739.345,346.645,425.607,2534.44,528.034,-9.866600037,29.54999924,540.34,661.05,817.64
G1352,ItezhiTezhi,6255,4662.75,1529.99,2216.59,6255.33,3107.24,-15.76669979,26.01659966,3069.52,4035.94,5289.56
no_station,No station,0,0,0,0,0,0,,,,,
G1312,Mpatamato,9578,547.79,248.511,359.693,9578.51,503.915,-13.25,28.13330078,392.41,486.66,608.92
G1294,ChembeFerry,11140,4503.48,2107.73,2857.39,11140.7,3829.84,-11.96660042,28.75,2926.89,3883.22,5123.74
G1319,KabompoPontoon60380051,1357,2101.45,1303.5,1611.78,1357.41,2011.67,-13.60000038,24.21660042,1525.88,1875.01,2327.89
G1344,NgwerereConfluence,75,172.08,35.0549,56.7817,75.5707,84.9652,-15.2166996,28.5,110.59,147.89,196.27
G1323,KelongwaSchool60334550,8003,907.66,639.706,852.125,8003.65,1127.67,-13.69999981,26.33329964,643.45,803.71,1011.61
G1351,Nyimba,5136,6380.21,1708.39,2496.4,5136.71,3518.58,-15.75,27.03000069,4286.74,5556.6,7203.82
G1338,KafueHookBridge60334669,1573,4133.955,2079.75,2860.6,1573.01,3873.5,-14.93330002,25.91659927,2714.87,3575.66,4692.25
G1361,Senanga60370001,3725,11311.74,4374.39,6162.69,3725.29,8482.44,-16.11669922,23.25,7943.01,9986.41,12637.07
G5696,Na,389,554.99,227.921,438.16,389.4,710.877,-16.35000038,23.45000076,246.9,433.78,676.2
G1271,PumpHouse,4204,255.115,216.468,296.724,4204.82,400.829,-10.16660023,30.96660042,155.5,215.92,294.31
G1353,Kasaka60334977,4693,7037.415,1709.02,2522.53,4693.35,3577.79,-15.81659985,28.21660042,4765.5,6143.6,7931.23
G1265,ChungaRanch,318,194.965,184.018,256.078,318.395,349.553,-9.930000305,32.13000107,125.67,167.7,222.23
G1328,Lukulu60370030,731,9139.765,3967.6,5365.53,731.186,7178.9,-14.38329983,23.23329926,6567.88,8127.93,10151.6
G1373,KatimaMulilo64370001,8147,12438.995,4558.65,6483.3,8147.71,8979.92,-17.48329926,24.29999924,8551.94,10909.75,13968.24
G1269,MbesumaPontoon60773245,1307,460.765,288.415,403.304,1307.56,552.335,-10,32.16669846,287.98,392.79,528.74
G1320,Kafironda,2088,1112.57,496.334,704.66,2088.02,974.895,-13.63329983,27.59000015,757.66,972.94,1252.2
G1329,Mswebi,9399,2403.555,1062.36,1588.39,9399.21,2270.75,-14.41660023,27,1560.59,2071.91,2735.2
G1340,LuangwaRoadBridge60332040,1247,6395.6,4425.79,6352.51,1247.86,8851.81,-14.9666996,30.2166996,4073.64,5482.09,7309.11
