id,Name,2y,5y,20y,glofasstation
0,F0030_R.ManafaatButaleja,346.32,414.47,502.88,F0030
1,F0031_R.Sio,1595.37,1861.88,2207.6,F0031
2,F0032_R.MpologomaatBudumba,699.91,869.45,1089.37,F0032
3,F0033_R.KyogaNileatMasindiport,8916.4,10942.3,13570.26,F0033
4,F0034_R.Kapiri,1086.16,1344.51,1679.65,F0034
5,F0035_R.RwiziatMbararawaterworks,108.12,136.43,173.16,F0035
6,F0036_R.Muzizi,71.1,95.5,127.16,F0036
7,F0037_R.Aswa-ii,562.58,758.87,1013.48,F0037
8,F0038_R.Mitano,315.58,415.02,544.01,F0038
9,F0039_R.Mayanja,133.88,165.23,205.89,F0039
10,F0041_R.Nkusi,80.05,96.65,118.19,F0041
11,F0042_R.PageratKitgum,208.97,281.1,374.66,F0042
12,G0959_Tossaye,9248.87,12034.28,15647.45,G0959
13,G0960_Koryoume,9202.8,11973.24,15566.99,G0960
14,G0963_Goundam,8.2,23.12,42.47,G0963
15,G0966_Dire,9227.24,12005.3,15608.94,G0966
16,G0968_Tonka,9260.43,12053.55,15676.72,G0968
17,G0970_Sarafere,11.44,25.07,42.75,G0970
18,G0976_Ansongo,8947.94,11724.49,15326.17,G0976
19,G0979_Akka,9298.1,12118.33,15776.65,G0979
20,G0988_Bakel,9056.52,12455.24,16863.98,G0988
21,G0994_Nantaka__Mopti,9319.93,12102.47,15711.92,G0994
22,G0995_Kayes,8377.15,11404.84,15332.28,G0995
23,G0999_Kara,6212.58,7735.46,9710.9,G0999
24,G1000_Tilembeya,6270.47,7816.73,9822.51,G1000
25,G1001_Sofara,3256.01,4657.57,6475.65,G1001
26,G1002_Ke_Macina,6219.43,7742.05,9717.16,G1002
27,G1003_Galougo,8010.74,10849.72,14532.38,G1003
28,G1005_Kirango_Aval,6240.81,7764.17,9740.25,G1005
29,G1009_Toukoto,1482.16,2086.58,2870.63,G1009
30,G1010_Beneny_Kegny,3245.44,4579.79,6310.68,G1010
31,G1011_Oualia,3986.76,5591.53,7673.19,G1011
32,G1014_Siramakana,1922.15,2958.54,4302.92,G1014
33,G1015_Gourbassy,1615.63,2143.22,2827.59,G1015
34,G1016_Douna,3205.36,4465.69,6100.55,G1016
35,G1017_Dibia,3613.0,4731.27,6181.87,G1017
36,G1023_Koulikoro,6067.7,7515.22,9392.92,G1023
37,G1029_Dioila,1171.78,1616.08,2192.41,G1029
38,G1034_Bafing_Makana,2648.44,3243.29,4014.92,G1034
39,G1037_Daka_Saydou,2032.87,2491.38,3086.14,G1037
40,G1040_Kouoro_2,651.45,1014.7,1485.9,G1040
41,G1041_Gouala,1342.19,1706.98,2180.17,G1041
42,G1045_Tendaho,1616.7,1821.98,2088.26,G1045
43,G1046_Banankoro,4539.29,5563.26,6891.53,G1046
44,G1048_Selingue,1332.16,1692.38,2159.64,G1048
45,G1049_Pankourou,1300.83,1766.79,2371.23,G1049
46,G1050_Bougouni,582.08,800.43,1083.68,G1050
47,G1053_Adaitu,1615.43,1821.41,2088.6,G1053
48,G1067_Melka_Sedi,1364.37,1561.22,1816.56,G1067
49,G1074_Metahara,1096.0,1253.24,1457.2,G1074
50,G1264_Near_Chibote,540.34,661.05,817.64,G1264
51,G1265_Chunga_Ranch,125.67,167.7,222.23,G1265
52,G1269_Mbesuma_Pontoon_60773245,287.98,392.79,528.74,G1269
53,G1271_Pump_House,155.5,215.92,294.31,G1271
54,G1277_Phewzi_65312414,801.6,988.54,1231.04,G1277
55,G1277_X31,832.03,1021.48,1267.24,G1277
56,G1279_Old_Pontoon,668.94,932.55,1274.51,G1279
57,G1294_Chembe_Ferry,2926.89,3883.22,5123.74,G1294
58,G1299_Konikombe_Hills_60334460,31.89,39.43,49.2,G1299
59,G1307_S53_Roadbridge_65312601,684.06,970.43,1341.91,G1307
60,G1307_X32,13.21,18.46,25.27,G1307
61,G1310_Katete_Boma,5.88,8.86,12.72,G1310
62,G1312_Mpatamato,392.41,486.66,608.92,G1312
63,G1314_Ndubeni,599.62,767.96,986.32,G1314
64,G1315_Manyinga,2.87,4.67,7.01,G1315
65,G1319_Kabompo_Pontoon_60380051,1525.88,1875.01,2327.89,G1319
66,G1320_Kafironda,757.66,972.94,1252.2,G1320
67,G1321_Machiya_Ferry_60334280,757.66,972.94,1252.2,G1321
68,G1323_Kelongwa_School_60334550,643.45,803.71,1011.61,G1323
69,G1328_Lukulu_60370030,6567.88,8127.93,10151.6,G1328
70,G1329_Mswebi,1560.59,2071.91,2735.2,G1329
71,G1331_Lubungu_60334450,1633.0,2186.14,2903.64,G1331
72,G1338_Kafue_Hook_Bridge_60334669,2714.87,3575.66,4692.25,G1338
73,G1339_Kalabo,668.52,946.81,1307.79,G1339
74,G1340_Luangwa_Road_Bridge_60332040,4073.64,5482.09,7309.11,G1340
75,G1343_Great_North_Road_Bridge,29.17,42.95,60.83,G1343
76,G1344_Ngwerere_Confluence,110.59,147.89,196.27,G1344
77,G1351_Nyimba,4286.74,5556.6,7203.82,G1351
78,G1352_Itezhi_Tezhi,3069.52,4035.94,5289.56,G1352
79,G1353_Kasaka_60334977,4765.5,6143.6,7931.23,G1353
80,G1361_Senanga_60370001,7943.01,9986.41,12637.07,G1361
81,G1373_Katima_Mulilo_64370001,8551.94,10909.75,13968.24,G1373
82,G1603_Gambella,1809.9,2123.27,2529.77,G1603
83,G1724_Na,5131.27,6382.7,8006.03,G1724
84,G1724_X33,5131.27,6382.7,8006.03,G1724
85,G1735_Na,1094.16,1512.61,2055.41,G1735
86,G1783_Na,4080.99,5495.76,7330.96,G1783
87,G1791_Na,8122.79,10233.12,12970.58,G1791
88,G1792_Na,7794.73,9777.57,12349.66,G1792
89,G1901_Omo_River_Delta,5402.08,6040.43,6868.49,G1901
90,G1902_Na,273.04,374.81,506.83,G1902
91,G1904_Na,3540.73,4509.49,5766.15,G1904
92,G1905_Na,3522.38,4469.09,5697.16,G1905
93,G1906_Na,3524.37,4471.1,5699.19,G1906
94,G1907_Na,3313.39,4138.52,5208.86,G1907
95,G2001_Na,4528.73,5475.05,6702.59,G2001
96,G2001_X34,4528.73,5475.05,6702.59,G2001
97,G4951_Na,1602.85,1815.86,2092.18,G4951
98,G4953_Bahir_Dar,1690.88,1885.19,2137.24,G4953
99,G4954_Na,389.77,731.45,1174.67,G4954
100,G4957_Nr._BAHIR_DAR,382.69,424.19,478.02,G4957
101,G4960_Na,19275.02,20357.9,21762.6,G4960
