wards,parentCode,placeCode,glofasStation
Tirioko,KE030157,KE0301570781,no_station
Kollowa,KE030157,KE0301570782,no_station
Ribkwo,KE030157,KE0301570783,no_station
Silale,KE030157,KE0301570784,no_station
Loiyamorok,KE030157,KE0301570785,no_station
Tangulbei/Korossi,KE030157,KE0301570786,no_station
Churo/Amaya,KE030157,KE0301570787,no_station
Barwessa,KE030158,KE0301580788,no_station
Kabartonjo,KE030158,KE0301580789,no_station
Saimo/Kipsaram,KE030158,KE0301580790,no_station
Saimo/Soi,KE030158,KE0301580791,no_station
Bartabwa,KE030158,KE0301580792,no_station
Kabarnet,KE030159,KE0301590793,no_station
Sacho,KE030159,KE0301590794,no_station
Tenges,KE030159,KE0301590795,no_station
Ewalel/Chapchap,KE030159,KE0301590796,no_station
Kapropita,KE030159,KE0301590797,no_station
Marigat,KE030160,KE0301600798,no_station
Ilchamus,KE030160,KE0301600799,no_station
Mochongoi,KE030160,KE0301600800,no_station
Mukutan,KE030160,KE0301600801,no_station
Mogotio,KE030161,KE0301610802,no_station
Emining,KE030161,KE0301610803,no_station
Kisanana,KE030161,KE0301610804,no_station
Lembus,KE030162,KE0301620805,no_station
Lembus Kwen,KE030162,KE0301620806,no_station
Ravine,KE030162,KE0301620807,no_station
Mumberes/Maji Mazuri,KE030162,KE0301620808,no_station
Lembus/Perkerra,KE030162,KE0301620809,no_station
Koibatek,KE030162,KE0301620810,no_station
Ndanai/Abosi,KE036194,KE0361940966,no_station
Chemagel,KE036194,KE0361940967,no_station
Kipsonoi,KE036194,KE0361940968,no_station
Kapletundo,KE036194,KE0361940969,no_station
Rongena/Chebilat,KE036194,KE0361940970,no_station
Kong'asis,KE036195,KE0361950971,no_station
Nyangores,KE036195,KE0361950972,no_station
Sigor,KE036195,KE0361950973,no_station
Chebunyo,KE036195,KE0361950974,no_station
Siongiroi,KE036195,KE0361950975,no_station
Merigi,KE036196,KE0361960976,no_station
Kembu,KE036196,KE0361960977,no_station
Longisa,KE036196,KE0361960978,no_station
Kipreres,KE036196,KE0361960979,no_station
Chemaner,KE036196,KE0361960980,no_station
Silibwet Township,KE036197,KE0361970981,no_station
Ndaraweta,KE036197,KE0361970982,no_station
Sigorwet,KE036197,KE0361970983,no_station
Cheseon,KE036197,KE0361970984,no_station
Mutarakwa,KE036197,KE0361970985,no_station
Chepchabas,KE036198,KE0361980986,no_station
Kimulot,KE036198,KE0361980987,no_station
Mogogosieki,KE036198,KE0361980988,no_station
Boito,KE036198,KE0361980989,no_station
Embomos,KE036198,KE0361980990,no_station
Cheptais,KE039216,KE0392161076,no_station
Chesikaki,KE039216,KE0392161077,no_station
Chepyuk,KE039216,KE0392161078,no_station
Kapkateny,KE039216,KE0392161079,no_station
Kaptama,KE039216,KE0392161080,no_station
Elgon,KE039216,KE0392161081,no_station
Namwela,KE039217,KE0392171082,no_station
Malakisi/South Kulisiru,KE039217,KE0392171083,no_station
Lwandanyi,KE039217,KE0392171084,no_station
Kabuchai/Chwele,KE039218,KE0392181085,no_station
West Nalondo,KE039218,KE0392181086,no_station
Bwake/Luuya,KE039218,KE0392181087,no_station
Mukuyuni,KE039218,KE0392181088,no_station
South Bukusu,KE039219,KE0392191089,no_station
Bumula,KE039219,KE0392191090,no_station
Khasoko,KE039219,KE0392191091,no_station
Kabula,KE039219,KE0392191092,no_station
Kimaeti,KE039219,KE0392191093,no_station
West Bukusu,KE039219,KE0392191094,no_station
Siboti,KE039219,KE0392191095,no_station
Bukembe West,KE039220,KE0392201096,no_station
Bukembe East,KE039220,KE0392201097,no_station
Township,KE039220,KE0392201098,no_station
Khalaba,KE039220,KE0392201099,no_station
Musikoma,KE039220,KE0392201100,no_station
East Sang'alo,KE039220,KE0392201101,no_station
Marakary/Tuuti,KE039220,KE0392201102,no_station
West Sang'alo,KE039220,KE0392201103,no_station
Mihuu,KE039221,KE0392211104,no_station
Ndivisi,KE039221,KE0392211105,no_station
Maraka,KE039221,KE0392211106,no_station
Misikhu,KE039222,KE0392221107,no_station
Sitikho,KE039222,KE0392221108,G5195
Matulo,KE039222,KE0392221109,no_station
Bokoli,KE039222,KE0392221110,no_station
Kibingei,KE039223,KE0392231111,no_station
Kimilili,KE039223,KE0392231112,no_station
Maeni,KE039223,KE0392231113,no_station
Kamukuywa,KE039223,KE0392231114,no_station
Mbakalo,KE039224,KE0392241115,no_station
Naitiri/Kabuyefwe,KE039224,KE0392241116,no_station
Milima,KE039224,KE0392241117,no_station
Ndalu,KE039224,KE0392241118,no_station
Tongaren,KE039224,KE0392241119,no_station
Soysambu/Mitua,KE039224,KE0392241120,no_station
Malaba Central,KE040225,KE0402251121,no_station
Malaba North,KE040225,KE0402251122,no_station
Ang'urai South,KE040225,KE0402251123,no_station
Ang'urai North,KE040225,KE0402251124,no_station
Ang'urai East,KE040225,KE0402251125,no_station
Malaba South,KE040225,KE0402251126,no_station
Angorom,KE040226,KE0402261127,no_station
Chakol South,KE040226,KE0402261128,no_station
Chakol North,KE040226,KE0402261129,no_station
