,placeCodeParent,placeCode,name
0,ZM7004,ZM080510702,Kashima East
1,ZM8011,ZM091113305,Tekelo
2,ZM1001,ZM010100316,Chikobo
3,ZM8011,ZM091113304,Muuka
4,ZM8011,ZM091113303,Mweenda
5,ZM4005,ZM040506421,Nkanga
6,ZM4005,ZM040506420,Luche
7,ZM2009,ZM020902708,Bwembya Silwizya
8,ZM8002,ZM090211814,Lukonde
9,ZM2009,ZM020902621,John Kampengele
10,ZM2009,ZM020902628,Mpelembe
11,ZM2009,ZM020902817,Kansuswa
12,ZM2010,ZM021003606,Kansenshi
13,ZM8002,ZM090211811,Chaamwe
14,ZM8002,ZM090211809,Kkole
15,ZM4005,ZM040506307,Mpasa
16,ZM4005,ZM040506416,Katiti
17,ZM4005,ZM040506314,Kalanga
18,ZM4005,ZM040506311,Mambilima
19,ZM8002,ZM090211806,Siampande
20,ZM4005,ZM040506309,Musonda
21,ZM2005,ZM020502405,Chifulube
22,ZM4005,ZM040506310,Lundashi
23,ZM4006,ZM040606603,Munkombwe
24,ZM4006,ZM040606601,Kabuta
25,ZM4006,ZM040606605,Kashikishi
26,ZM4006,ZM040606606,Nchelenge
27,ZM4006,ZM040606609,Kasamba
28,ZM4006,ZM040606608,Chisenga
29,ZM4006,ZM040606607,Chilongo
30,ZM4006,ZM040606613,Katofyo
31,ZM8002,ZM090211804,Kkoma
32,ZM8002,ZM090211802,Sinafala
33,ZM8002,ZM090211803,Jumbo
34,ZM4007,ZM040706713,Katanshya
35,ZM4007,ZM040706711,Chimana
36,ZM8004,ZM090412015,Nachikungu
37,ZM8004,ZM090412012,Simayakwe
38,ZM8005,ZM090512108,Mandia
39,ZM2010,ZM021003610,Kanini
40,ZM8009,ZM090913113,Itapa
41,ZM2010,ZM021003404,Chifubu
42,ZM8005,ZM090512109,Sekute
43,ZM2010,ZM021003405,Kamba
44,ZM2010,ZM021003403,Fibobe
45,ZM2010,ZM021003402,Kawama
46,ZM8008,ZM090812702,Kaila
47,ZM8009,ZM090913104,Maala
48,ZM8001,ZM090111606,Kabimba
49,ZM2010,ZM021003518,Lubuto
50,ZM2010,ZM021003519,Mukuba
51,ZM8009,ZM090913107,Chitongo
52,ZM2010,ZM021003523,Kafubu
53,ZM4007,ZM040706720,Musaba
54,ZM2010,ZM021003522,Kabushi
55,ZM2010,ZM021003520,Toka
56,ZM8005,ZM090512111,Simango
57,ZM8006,ZM090512112,Musokotwane
58,ZM7004,ZM080510714,Kaminzekenzeke
59,ZM7002,ZM080310512,Litoya
60,ZM2010,ZM021003521,Kaloko
61,ZM2010,ZM021003311,Itawa
62,ZM7002,ZM080310516,Luli
63,ZM7002,ZM080310519,Chikenge
64,ZM60,ZMZM6002,Lunte District
65,ZM4009,ZM040706808,Chisi
66,ZM4001,ZM040106505,Chiengi
67,ZM2010,ZM021003314,Kavu
68,ZM4001,ZM040106508,Chipamba
69,ZM8012,ZM090111714,Nachibanga
70,ZM2010,ZM021003628,Kaniki
71,ZM4009,ZM040706803,Kasaba
72,ZM4009,ZM040706802,Kasansa
73,ZM7002,ZM080310513,Kamisombo
74,ZM8005,ZM090512105,Nyawa
75,ZM8006,ZM090612311,Lizuma
76,ZM8006,ZM090612313,Dambwa Central
77,ZM8006,ZM090612306,Libuyu
78,ZM,ZMZM20,Copperbelt
79,ZM80,ZMZM8002,Gwembe
80,ZM80,ZMZM8004,Kalomo
81,ZM80,ZMZM8010,Siavonga
82,ZM50,ZMZM5003,Luangwa
83,ZM4004,ZM040406009,Chipundu
84,ZM2010,ZM021003626,Twapia
85,ZM4004,ZM040406004,Lusubwe
86,ZM4012,ZM040205718,Mwansabombwe
87,ZM8006,ZM090612309,Maramba
88,ZM4004,ZM040406003,Itembo
89,ZM4004,ZM040406013,Mikula
90,ZM4004,ZM040406006,Nsaka
91,ZM8006,ZM090612315,Kariba
92,ZM8006,ZM090612302,Musi o Tunya
93,ZM90,ZMZM9004,Mongu
94,ZM4004,ZM040406005,Milambo
95,ZM8007,ZM090712509,Nkonkola
96,ZM4004,ZM040406008,Nsunga
97,ZM4004,ZM040406011,Mumbotuta
98,ZM4006,ZM040205722,Mbereshi
99,ZM,ZMZM50,Lusaka
100,ZM4004,ZM040406012,Kapalala
101,ZM,ZMZM10,Central
102,ZM,ZMZM40,Luapula
103,ZM,ZMZM90,Western
104,ZM4004,ZM040406010,Sokontwe
105,ZM,ZMZM30,Eastern
106,ZM,ZMZM11,Muchinga
107,ZM80,ZMZM8006,Livingstone
108,ZM80,ZMZM8008,Monze
109,ZM80,ZMZM8009,Namwala
110,ZM,ZMZM60,Northern
111,ZM,ZMZM70,Northwestern
112,ZM80,ZMZM8001,Choma
113,ZM30,ZMZM3001,Chadiza
114,ZM,ZMZM80,Southern
115,ZM80,ZMZM8011,Sinazongwe
116,ZM80,ZMZM8005,Kazungula
117,ZM70,ZMZM7003,Kasempa
118,ZM4012,ZM040205715,Mununshi
119,ZM4012,ZM040205721,Kayo
120,ZM90,ZMZM9010,Mulobezi
121,ZM30,ZMZM3008,Petauke
122,ZM70,ZMZM7001,Chavuma
123,ZM40,ZMZM4001,Chiengi
124,ZM4012,ZM040205720,Chipita
125,ZM8006,ZM090612303,Dr Mubitana
126,ZM90,ZMZM9005,Senanga
127,ZM30,ZMZM3004,Katete
128,ZM30,ZMZM3010,Kasenengwa
129,ZM7003,ZM080410622,Jifumpa
130,ZM4012,ZM040205717,Lufubu
131,ZM50,ZMZM5007,Rufunsa
132,ZM30,ZMZM3006,Mambwe
133,ZM40,ZMZM4004,Milengi
134,ZM7003,ZM080410614,Mutenda
135,ZM7003,ZM080410606,Kamatete
136,ZM3001,ZM030103701,Mangwe
137,ZM3001,ZM030103705,Kapachi
138,ZM3009,ZM030204116,Kasenga
139,ZM3003,ZM030204404,Chikando
140,ZM8004,ZM090412216,Chidi
141,ZM10,ZMZM1002,Kabwe
142,ZM20,ZMZM2003,Kalulushi
143,ZM40,ZMZM4003,Mansa
144,ZM11,ZMZM1111,Nakonde
145,ZM7003,ZM080410610,Kamusongolwa
146,ZM7003,ZM080410616,Mpungu
147,ZM3001,ZM030103709,Chamandala
148,ZM3009,ZM030204114,Nthope
149,ZM8006,ZM090612317,Shungu
150,ZM30,ZMZM3007,Nyimba
151,ZM20,ZMZM2004,Kitwe
152,ZM60,ZMZM6001,Chilubi
153,ZM40,ZMZM4006,Nchelenge
154,ZM40,ZMZM4008,Chembe
155,ZM30,ZMZM3013,Vubwi
156,ZM4012,ZM040205716,Mulele
157,ZM10,ZMZM1009,Itezhi-tezhi
158,ZM20,ZMZM2009,Mufulira
159,ZM40,ZMZM4007,Samfya
